time_us,q0,q1,q2,q3,wx,wy,wz,motor1,motor2,motor3,motor4
98645526,-0.9976045155202924,-0.03743942230343994,-0.028235649243905488,0.05085536729670274,0.020653750747442245,0.019848769530653954,0.06384212523698807,1000.0,1000.0,1000.0,1000.0
98745486,-0.9976060260535297,-0.03742273156699802,-0.028200213952383688,0.050857682573910136,0.018522225320339203,0.018375249579548836,0.07094995677471161,1000.0,1000.0,1000.0,1000.0
98845446,-0.9976141112795532,-0.03727886222492422,-0.028110052384189656,0.05085465919736853,0.020736420527100563,0.01737205870449543,0.06889688223600388,1000.0,1000.0,1000.0,1000.0
98945406,-0.9976135651699913,-0.037279060377006734,-0.02812127658446582,0.05085902131861303,0.02291899174451828,0.013343648053705692,0.06504285335540771,1000.0,1000.0,1000.0,1000.0
99045366,-0.9976144079067268,-0.03725494327694702,-0.02811719472293868,0.05086241932168243,0.019204290583729744,0.018504995852708817,0.0671389251947403,1000.0,1000.0,1000.0,1000.0
99145326,-0.9976119214589232,-0.03732179620011285,-0.028106110410678297,0.050868302989341196,0.022621745243668556,0.01050808560103178,0.06614420562982559,1000.0,1000.0,1000.0,1000.0
99245286,-0.997599069657486,-0.03747699049523587,-0.028327471874034643,0.050883452508297955,0.016147326678037643,0.019694702699780464,0.07168536633253098,1000.0,1000.0,1000.0,1000.0
99345246,-0.9975828381586705,-0.03775146763836825,-0.028501656321692756,0.05090150576712943,0.020056629553437233,0.01991569623351097,0.06858785450458527,1000.0,1000.0,1000.0,1000.0
99445206,-0.9975653315620138,-0.03798327826633157,-0.028766344088433236,0.050923248968401405,0.021135039627552032,0.017063526436686516,0.06640629470348358,1000.0,1000.0,1000.0,1000.0
99545166,-0.9975429770611871,-0.03827767597153047,-0.02910688355756159,0.05094720569068564,0.0162154883146286,0.017633546143770218,0.07185707986354828,1000.0,1000.0,1000.0,1000.0
99645126,-0.9975056538352174,-0.03883216745389276,-0.029581243539206544,0.05098512889345883,0.021048586815595627,0.016453871503472328,0.06623047590255737,1000.0,1000.0,1000.0,1000.0
99745086,-0.9974701587623845,-0.039329721659357504,-0.030056980032143528,0.05101993065546397,0.0156317800283432,0.016327640041708946,0.06950473040342331,1000.0,1000.0,1000.0,1000.0
