,RPM1,RPM2,RPM3,RPM4
x,2.4850141785474453e-08,-8.82076126645341e-09,-2.466253060215995e-08,9.580041187330217e-09
y,-3.989739463558005e-09,-7.2331435454745466e-09,6.3969450041741014e-09,4.821813384360203e-09
z,1.9913669583542092e-09,6.5145917279393425e-09,3.4428367008121452e-09,4.0130632837793484e-09
vx,1.8946700872499796e-06,-6.019486740637452e-07,-1.8698589417971244e-06,6.449013735157903e-07
vy,-2.0022921024732817e-07,-4.899032089787284e-07,4.062736500107438e-07,2.8285516326316923e-07
vz,1.5797830155555855e-07,5.207591877301331e-07,2.7615513602879297e-07,3.218456066652527e-07
