,x,y,z,vx,vy,vz
x,0.9997009294056776,0.004577786884016023,5.154000153167746e-05,0.020771291713683266,4.1692072080402905e-05,-7.175540029839427e-05
y,2.6075634037605964e-05,0.9946622524106916,-2.332180994178478e-06,1.3335449516038853e-05,0.020723709840897397,-2.994916899125209e-05
z,-5.857242215911493e-05,0.0053252815097407785,0.9995797665701674,0.00013787699619098454,4.893927870662479e-06,0.020634617551522794
vx,-0.02398274291865176,0.3692545171689589,0.004358093606492079,0.9940917900315426,0.004719702267169167,-0.005672731941354147
vy,0.002059991899762506,-0.4266442947714364,-0.00016425576592254984,0.0010650561580029002,0.9885791606874643,-0.002373047655333049
vz,-0.0046849888247883584,0.42581491622949297,-0.03361302231013039,0.011028463675175904,0.00040410615018376077,0.9841012042998538
