1.193173161596909226e+00,1.258117299524957600e-01,4.864156843908752914e-01,1.235683155552753432e+00,1.803659328089532096e-02,-3.107915774856009200e-02,-8.401154011255895782e-02
1.193082373897898396e+00,1.314308816141142866e-01,4.849628072955072255e-01,1.235749333968077179e+00,1.057566013138425479e-02,-3.016238972193547793e-02,-8.468097503737030685e-02
1.193026575136061362e+00,1.409891927665793965e-01,4.917249304071986682e-01,1.235741161698427071e+00,1.212899496013281932e-02,-4.325732154023844561e-02,-8.477315460208999232e-02
1.192987233989194706e+00,1.411066708497516753e-01,4.881990975441447000e-01,1.235787435361289655e+00,-9.335499783924275027e-03,-4.589670405928861219e-02,-8.434733200491080496e-02
1.193054566722469456e+00,1.362941720553135783e-01,4.885999627550842717e-01,1.235743460222218149e+00,2.796069427069559823e-03,-4.544574690839834480e-02,-8.472894948430470530e-02
1.192766024166976413e+00,1.604262461414612817e-01,4.914720184813364812e-01,1.235891857884501510e+00,1.350554390833180046e-02,-3.965269080324580059e-02,-8.494115964916636174e-02
1.192541975629080264e+00,1.660306633873984139e-01,4.781819753187132038e-01,1.236099583240559463e+00,-8.234208778641593715e-03,-2.538062758456740772e-02,-8.232666638368607570e-02
1.192591332013993144e+00,1.474854943466343826e-01,4.660739694219628859e-01,1.236112676107911978e+00,2.636686128850706731e-02,-3.377808801338045425e-02,-8.086992584651937765e-02
1.192675940354481545e+00,1.302470956958076409e-01,4.588594037579631912e-01,1.236060526885291555e+00,3.576080961594610419e-02,-6.535752964087936795e-03,-8.358568685303520429e-02
1.193155978765071401e+00,1.035189751161987443e-01,4.718760974415450171e-01,1.235668241527418276e+00,2.834724096243170302e-02,-2.460351600127101170e-03,-8.479040003167893913e-02
1.193208834043637312e+00,9.310931693243010288e-02,4.657250011592677374e-01,1.235640956978106608e+00,-9.824814308871948274e-03,-4.836305448755096048e-02,-8.513143411533607985e-02
1.192878278158518990e+00,8.901652587704862729e-02,4.366971532436932368e-01,1.235926046475655182e+00,-1.606681084303158286e-02,-2.584299969912518674e-02,-8.559832125748459419e-02
1.192539874018959667e+00,1.068358651320892722e-01,4.220753015199775193e-01,1.236245509643515872e+00,4.846092204005153677e-03,-5.624170148447357742e-02,-8.680834962877143068e-02
1.192144591510514440e+00,1.397789059154307956e-01,4.110132623906670446e-01,1.236630529737584583e+00,5.778893012617051725e-03,-4.179378162368972000e-02,-8.668206524735741492e-02
1.192003888219842489e+00,1.478785306801382038e-01,4.034383233472368380e-01,1.236761127528310134e+00,7.069705270206659044e-03,-4.118728995721383790e-02,-8.565984846072025038e-02
1.191824322589580598e+00,1.631338578661614691e-01,3.965195154363174157e-01,1.236930069429580836e+00,1.012656944001421103e-02,-3.663538948335326451e-02,-8.561417743328716967e-02
1.191846101558225568e+00,1.552857926066052996e-01,3.925365316219999179e-01,1.236909318511431266e+00,3.718002060061466330e-02,-2.373625434374847590e-02,-8.336052363028592649e-02
1.191735329538827104e+00,1.578286875193012084e-01,3.859706222407598974e-01,1.236982925936467304e+00,3.067687108793408501e-02,-3.832253984099678878e-02,-8.283209413199890681e-02
1.191664364030358136e+00,1.730207225176671471e-01,3.947749596981751652e-01,1.237013369890936909e+00,2.642079653255370586e-02,-3.671274134328517125e-02,-8.344378865312936100e-02
1.191580309498145862e+00,1.859083443686448400e-01,4.002470198550253655e-01,1.237046823288341590e+00,2.414498843410382151e-02,-3.520008197837879577e-02,-8.404265098305602200e-02
1.191723214779667250e+00,1.742039778813304074e-01,4.065312988519351745e-01,1.236919754131911020e+00,2.240843820663111774e-02,-5.567001994238562380e-03,-8.390880022244501246e-02
1.191989750525853875e+00,1.124385087461731991e-01,3.837440113323027369e-01,1.236643205725672434e+00,-3.899506895741400997e-02,1.668086122645247998e-02,-8.451481222674053773e-02
1.192116561779974493e+00,5.701803427900521692e-02,3.639491193316652384e-01,1.236242321012708478e+00,1.340569401179588296e-02,1.665285462484713402e-02,-8.689954871154256799e-02
1.191971030370002183e+00,3.009141166643862497e-02,3.450027774481827514e-01,1.236061611876879018e+00,2.659816770508447586e-03,-1.818295023905569519e-02,-8.413625777295391517e-02
1.191924580189551941e+00,-2.045910048948489535e-03,3.370263702128719063e-01,1.235704304651094487e+00,4.422782520662429939e-03,-2.942897484825836470e-03,-8.234202215715599737e-02
1.191970488188634603e+00,-1.895261284234242560e-02,3.386756809261700085e-01,1.235463059531599850e+00,3.177985502027041304e-02,-1.273913969278826254e-02,-8.223381545623580091e-02
1.192421987096131897e+00,-3.657741332977629267e-02,3.583253070039855159e-01,1.235071652789881069e+00,6.856378203367487212e-02,-1.507669828779040731e-02,-8.548798102784435637e-02
1.193357836567306984e+00,-4.851280281172047626e-02,3.994233564324813357e-01,1.234546562017489135e+00,6.180713567520691037e-02,-1.806282164764044795e-02,-8.564195466515914235e-02
1.194170553773798993e+00,-5.836778592579421748e-02,4.330585165215534715e-01,1.234051973515749356e+00,5.308484516759360422e-02,-2.002754255144204715e-02,-8.572645188640773406e-02
1.194825767871360966e+00,-6.538951535855706820e-02,4.591091978550843611e-01,1.233639392383091282e+00,4.412291024641786658e-02,-2.200394777244063862e-02,-8.543225186004410610e-02
1.194127452249734711e+00,-2.005876382873657618e-02,4.470607888352303716e-01,1.234479253447107849e+00,-2.230611414469517093e-02,-5.791524775484308690e-02,-8.304070004521768578e-02
1.193396174698980294e+00,2.816544097261143575e-02,4.347710225785907379e-01,1.235266151353371145e+00,1.461978531441291036e-02,-6.860825456420280299e-02,-8.223387678092494713e-02
