time,z_error,vz,roll,pitch,yaw,p,q,r,u1,u2,u3,u4
0.09200000000000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4525,2.4525,2.4525,2.4525
0.09400000000000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4525,2.4525,2.4525,2.4525
0.09600000000000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4525,2.4525,2.4525,2.4525
0.09800000000000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4525,2.4525,2.4525,2.4525
0.10000000000000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4525,2.4525,2.4525,2.4525
0.10200000000000008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4525,2.4525,2.4525,2.4525
0.10400000000000008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4525,2.4525,2.4525,2.4525
0.10600000000000008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4525,2.4525,2.4525,2.4525
0.10800000000000008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4525,2.4525,2.4525,2.4525
0.11000000000000008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4525,2.4525,2.4525,2.4525
0.11200000000000009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4525,2.4525,2.4525,2.4525
0.11400000000000009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4525,2.4525,2.4525,2.4525
0.11600000000000009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4525,2.4525,2.4525,2.4525
0.11800000000000009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4525,2.4525,2.4525,2.4525
0.12000000000000009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4525,2.4525,2.4525,2.4525
0.1220000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4525,2.4525,2.4525,2.4525
0.1240000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4525,2.4525,2.4525,2.4525
0.12600000000000008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4525,2.4525,2.4525,2.4525
0.12800000000000009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4525,2.4525,2.4525,2.4525
0.1300000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4525,2.4525,2.4525,2.4525
0.1320000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4525,2.4525,2.4525,2.4525
0.1340000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4525,2.4525,2.4525,2.4525
0.1360000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4525,2.4525,2.4525,2.4525
0.1380000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4525,2.4525,2.4525,2.4525
0.1400000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4525,2.4525,2.4525,2.4525
0.1420000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4525,2.4525,2.4525,2.4525
0.1440000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4525,2.4525,2.4525,2.4525
0.1460000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4525,2.4525,2.4525,2.4525
0.1480000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4525,2.4525,2.4525,2.4525
0.1500000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4525,2.4525,2.4525,2.4525
