time,target_x,target_y,target_z,x,y,z,qx,qy,qz,qw,vx,vy,vz,wx,wy,wz,rpm1,rpm2,rpm3,rpm4
0.0,0.0,0.0,0.3,0.0,0.0,0.10241268685819709,0.0,0.0,0.0,1.0,0.0,0.0,0.19299019170164786,0.0,0.0,0.0,20181.30505789114,20181.30505789114,20181.30505789114,20181.30505789114
0.020833333333333332,0.0,0.0,0.3,0.0,0.0,0.10788592201652776,0.0,0.0,0.0,1.0,0.0,0.0,0.3091795893551989,0.0,0.0,0.0,18130.66146908768,18130.66146908768,18130.66146908768,18130.66146908768
0.041666666666666664,0.0,0.0,0.3,0.0,0.0,0.11515373046368316,0.0,0.0,0.0,1.0,0.0,0.0,0.3752926709072466,0.0,0.0,0.0,16658.499253435504,16658.499253435504,16658.499253435504,16658.499253435504
0.0625,0.0,0.0,0.3,0.0,0.0,0.1233932744293938,0.0,0.0,0.0,1.0,0.0,0.0,0.4089617525884915,0.0,0.0,0.0,15630.684331765347,15630.684331765347,15630.684331765347,15630.684331765347
0.08333333333333333,0.0,0.0,0.3,0.0,0.0,0.13207379764306584,0.0,0.0,0.0,1.0,0.0,0.0,0.4217980808250445,0.0,0.0,0.0,14933.086949091168,14933.086949091168,14933.086949091168,14933.086949091168
0.10416666666666667,0.0,0.0,0.3,0.0,0.0,0.14085669483892546,0.0,0.0,0.0,1.0,0.0,0.0,0.42143312987639536,0.0,0.0,0.0,14473.197114503175,14473.197114503175,14473.197114503175,14473.197114503175
0.125,0.0,0.0,0.3,0.0,0.0,0.1495295071794988,0.0,0.0,0.0,1.0,0.0,0.0,0.41287131422019147,0.0,0.0,0.0,14179.680196929163,14179.680196929163,14179.680196929163,14179.680196929163
0.14583333333333334,0.0,0.0,0.3,0.0,0.0,0.15796237550664136,0.0,0.0,0.0,1.0,0.0,0.0,0.3993846435071055,0.0,0.0,0.0,13999.906256322538,13999.906256322538,13999.906256322538,13999.906256322538
0.16666666666666666,0.0,0.0,0.3,0.0,0.0,0.1660793364740557,0.0,0.0,0.0,1.0,0.0,0.0,0.38310367926798156,0.0,0.0,0.0,13896.398086538076,13896.398086538076,13896.398086538076,13896.398086538076
0.1875,0.0,0.0,0.3,0.0,0.0,0.17383941859796875,0.0,0.0,0.0,1.0,0.0,0.0,0.3654075625071807,0.0,0.0,0.0,13843.173089039396,13843.173089039396,13843.173089039396,13843.173089039396
0.20833333333333334,0.0,0.0,0.3,0.0,0.0,0.18122420422416807,0.0,0.0,0.0,1.0,0.0,0.0,0.3471812845322611,0.0,0.0,0.0,13822.565784755665,13822.565784755665,13822.565784755665,13822.565784755665
0.22916666666666666,0.0,0.0,0.3,0.0,0.0,0.18822965561470917,0.0,0.0,0.0,1.0,0.0,0.0,0.3289853182113694,0.0,0.0,0.0,13822.734105479227,13822.734105479227,13822.734105479227,13822.734105479227
0.25,0.0,0.0,0.3,0.0,0.0,0.19486075205800735,0.0,0.0,0.0,1.0,0.0,0.0,0.3111674246024959,0.0,0.0,0.0,13835.823090474925,13835.823090474925,13835.823090474925,13835.823090474925
0.2708333333333333,0.0,0.0,0.3,0.0,0.0,0.20112797942155408,0.0,0.0,0.0,1.0,0.0,0.0,0.2939363194327027,0.0,0.0,0.0,13856.666729548557,13856.666729548557,13856.666729548557,13856.666729548557
0.2916666666666667,0.0,0.0,0.3,0.0,0.0,0.20704503995475154,0.0,0.0,0.0,1.0,0.0,0.0,0.2774101881748773,0.0,0.0,0.0,13881.894088259109,13881.894088259109,13881.894088259109,13881.894088259109
0.3125,0.0,0.0,0.3,0.0,0.0,0.21262736547579789,0.0,0.0,0.0,1.0,0.0,0.0,0.26164861742832335,0.0,0.0,0.0,13909.324209664926,13909.324209664926,13909.324209664926,13909.324209664926
0.3333333333333333,0.0,0.0,0.3,0.0,0.0,0.21789115909645398,0.0,0.0,0.0,1.0,0.0,0.0,0.24667359301412214,0.0,0.0,0.0,13937.561000447455,13937.561000447455,13937.561000447455,13937.561000447455
